id,source_type,document_title,subject,chapter_title,section_heading,chunk_index,chunk_text,topic_label,subtopic_label,section_type,topic_priority,quality_label,notes
11,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Introduction To Computer,First Generation (1940-56) : Vacuum Tube,1,"For example: ENIAC, EDV AC AND UNIV AC Characteristics of First Generation Computers These computers were based on vacuum tube technology",First Generation (1940-56) : Vacuum Tube,,characteristics,high,good,Natural extraction target grounded in the uploaded FOCP PDF and aligned to the topic/subtopic flow.
12,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Introduction To Computer,Second Generations (1956-63): Transistors,1,"It usually had three leads and performed electrical functions such as voltage, current or power amplification with low power requirement Since transistor is a small device, the physical size of computers was greatly reduced",Second Generations (1956-63): Transistors,,history_evolution,high,good,Natural extraction target grounded in the uploaded FOCP PDF and aligned to the topic/subtopic flow.
13,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Introduction To Computer,"Third Generation (1964 - Early 1970), Integrated Circuits",1,"Integrated circuit replaced several individually wired transistor This development made computers smaller in size, reliable and efficient","Third Generation (1964 - Early 1970), Integrated Circuits",,history_evolution,low,good,Natural extraction target grounded in the uploaded FOCP PDF and aligned to the topic/subtopic flow.
14,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Introduction To Computer,"Third Generation (1964 - Early 1970), Integrated Circuits",1,They were able to reduce computational time from micro seconds to nano seconds Extensive use of high - level language became possible,"Third Generation (1964 - Early 1970), Integrated Circuits",Characteristic of Third Generation Computer,history_evolution,high,good,Natural extraction target grounded in the uploaded FOCP PDF and aligned to the topic/subtopic flow.
15,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Introduction To Computer,Fourth Generation (Early (1970 - Till Date) Microprocessors),1,These computers are very small GUI an d pointing devices enable users to learn to use the computer quickly,Fourth Generation (Early (1970 - Till Date) Microprocessors),,history_evolution,medium,good,Natural extraction target grounded in the uploaded FOCP PDF and aligned to the topic/subtopic flow.
16,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Introduction To Computer,Fifth Generation (Present and Beyond): Artificial Intelligence,1,The expert system it defined as a computer information system that attempts to mimic the thought process and reasoning of experts in specific areas three characteristics can be identified with the fifth generation computer these are,Fifth Generation (Present and Beyond): Artificial Intelligence,,characteristics,high,good,Natural extraction target grounded in the uploaded FOCP PDF and aligned to the topic/subtopic flow.
17,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Introduction To Computer,Fifth Generation (Present and Beyond): Artificial Intelligence,1,"Fifth generation computers will use super large scale integrated (SLSI) chips, which will result in the production of microprocessor having millions of electronic components on a single chip",Fifth Generation (Present and Beyond): Artificial Intelligence,Mega chips,history_evolution,medium,good,Natural extraction target grounded in the uploaded FOCP PDF and aligned to the topic/subtopic flow.
18,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Introduction To Computer,Fifth Generation (Present and Beyond): Artificial Intelligence,1,A computer using parallel processing accesses several instructions at once and works on them at the same time through use of multiple central processing units,Fifth Generation (Present and Beyond): Artificial Intelligence,Parallel processing,history_evolution,medium,good,Natural extraction target grounded in the uploaded FOCP PDF and aligned to the topic/subtopic flow.
19,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Introduction To Computer,Fifth Generation (Present and Beyond): Artificial Intelligence,1,"AI comprises a group of related technologies expert systems (ES), natural language processing (NLP) speech recognition, vision recognition and robotics",Fifth Generation (Present and Beyond): Artificial Intelligence,Artificial intelligence: (AI),history_evolution,medium,good,Natural extraction target grounded in the uploaded FOCP PDF and aligned to the topic/subtopic flow.
20,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Introduction To Computer,Classification Of Computers,1,"A micro computer is a small, low cost digital computer, which usually consists of a microprocessor, a storage unit, an input channel and an output channel, all of which may be on one chip inserted into are or several pc boards",Classification Of Computers,Micro computers,classification_types,high,good,Natural extraction target grounded in the uploaded FOCP PDF and aligned to the topic/subtopic flow.
21,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Introduction To Computer,Classification Of Computers,1,"Desktop computer also known as personal computer (pc) is principally intended per stand alone use by an individual micro computer typically consist of a system unit a display monitor, a keyboard internal hard disk storage and other peripheral devices",Classification Of Computers,Desktop computer,classification_types,high,good,Natural extraction target grounded in the uploaded FOCP PDF and aligned to the topic/subtopic flow.
22,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Introduction To Computer,Classification Of Computers,1,"The biggest advantage of this computer is that one can use this computer anywhere and at anytime, especially when are is travelling",Classification Of Computers,Laptop,classification_types,high,good,Natural extraction target grounded in the uploaded FOCP PDF and aligned to the topic/subtopic flow.
23,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Introduction To Computer,Classification Of Computers,1,"A hard-held, also called personal digital assistant (PDA), is a computer that can conveniently be stored in a pocket and used while the user is holding it",Classification Of Computers,Hand held computers,classification_types,high,good,Natural extraction target grounded in the uploaded FOCP PDF and aligned to the topic/subtopic flow.
24,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Introduction To Computer,Classification Of Computers,1,"Mini computers are usually multi-user systems, so these are used in interactive applications in industries, research organisations colleges and universities",Classification Of Computers,Mini computers,applications,high,good,Natural extraction target grounded in the uploaded FOCP PDF and aligned to the topic/subtopic flow.
25,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Introduction To Computer,Classification Of Computers,1,"A mainframe is an ultra - high performance computer made for high - volume, processor - intensive computing",Classification Of Computers,Mainframe computer,classification_types,high,good,Natural extraction target grounded in the uploaded FOCP PDF and aligned to the topic/subtopic flow.
26,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Introduction To Computer,Classification Of Computers,1,"Super computers are used to solve multivariant mathematical problems of existent physical processes, such as aerodynamics, metrologis, and plasms physics",Classification Of Computers,Super computers,applications,high,good,Natural extraction target grounded in the uploaded FOCP PDF and aligned to the topic/subtopic flow.
27,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Introduction To Computer,Basic Computer Organization,1,"Therefore if required, the output unit also converts the binary data into a form that users can understand",Basic Computer Organization,,organization_components,medium,good,Natural extraction target grounded in the uploaded FOCP PDF and aligned to the topic/subtopic flow.
28,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Introduction To Computer,Number Systems,1,There can be many ways in which the digits can be arranged to form a number,Number Systems,Introduction,number_systems,medium,good,Natural extraction target grounded in the uploaded FOCP PDF and aligned to the topic/subtopic flow.
29,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Introduction To Computer,Number Systems,1,"In decimal number system 3967(10) or 3967 Consists the digits 7 in the unit position (7×100) 6 in the unit position (6×101) 9 in the unit position (9×102) 3 in the unit position (3×103) It values can be written as 3×103+9×102+6×101+7×100 3×1000+9×100+6×10+7×1 3000+900+60+7 3967 3967(10) = 3967 (2) Binary number system The binary system user only two digits i.e, 0's and 1's the base or radis of binary number system is 2 because it contains only two numbers",Number Systems,,organization_components,high,good,Natural extraction target grounded in the uploaded FOCP PDF and aligned to the topic/subtopic flow.
30,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Introduction To Computer,Number Systems,1,"(1) Decimal number system (2) Binary number system (3) Octal number system (4) Hexadecimal system (1) Decimal number system In this number system the base or radix is 10 and there are altogethes ten number i.e, 0,1,2,3,4,5,6,7,8,9",Number Systems,Unit,number_systems,high,review,Natural extraction target grounded in the uploaded FOCP PDF and aligned to the topic/subtopic flow.
31,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Introduction To Computer,Number Systems,1,The circuits in computer have to handled by two binary digits or bits rather than decimal number,Number Systems,User,number_systems,medium,good,Natural extraction target grounded in the uploaded FOCP PDF and aligned to the topic/subtopic flow.
32,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Introduction To Computer,Number Systems,1,0 0000 1 0001 2 0010 3 0011 4 0100 5 0101 6 0110 7 0111 8 1000 9 1001 (3) Octal number system The number system with base or radix digit (8) is known as octal number system There are only eight digits is i.e,Number Systems,Decimal number Binary equivalent,number_systems,high,good,Natural extraction target grounded in the uploaded FOCP PDF and aligned to the topic/subtopic flow.
33,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Introduction To Computer,Number Systems,1,"Since number (0 to 9) and alphabets (A to F) are used to represent the digit in hexadecimal numbers system, it is also called the alphanumeric number systems",Number Systems,Decimal Octal Binary Equivalent,applications,high,good,Natural extraction target grounded in the uploaded FOCP PDF and aligned to the topic/subtopic flow.
34,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Introduction To Computer,Conversion of Decimal Number System,1,⇒ Decimal to binary system ⇒ Decimal to octal ⇒ Decimal to hexadecimal (1) Conversion of Decimal to Binary System,Conversion of Decimal Number System,,number_systems,high,good,Natural extraction target grounded in the uploaded FOCP PDF and aligned to the topic/subtopic flow.
35,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Introduction To Computer,Conversion of Decimal Number System,2,"Convert the 22.64(10) decimal number to its hexadecimal equivalent 16 22 1 - 6 Therefore, 22(10) = 16(16)",Conversion of Decimal Number System,,number_systems,high,good,Natural extraction target grounded in the uploaded FOCP PDF and aligned to the topic/subtopic flow.
36,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Introduction To Computer,Conversion of Decimal Number System,1,0.8125 *2 =1.625 =0.625 with carry as 1 0.625 *2 =1.25 =0.25 with carry as 1 0.25 *2 =0.5 =0.50 with carry as 0 0.5 *2 =1.0 =0.00 with carry as 1 0.8125(10) = 0.1101 Therefore 37.8125(10) = 100101.1101(2) Exercise: Convert (68)10 to binary,Conversion of Decimal Number System,Fraction Radix Result,number_systems,high,review,Natural extraction target grounded in the uploaded FOCP PDF and aligned to the topic/subtopic flow.
37,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Introduction To Computer,Conversion of Binary System,1,⇒ Binary to decimal conversion ⇒ Binary to octal ⇒ Binary to hexadecimal (1) Binary to Decimal Conversion,Conversion of Binary System,,number_systems,high,good,Natural extraction target grounded in the uploaded FOCP PDF and aligned to the topic/subtopic flow.
38,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Introduction To Computer,Conversion of Binary System,2,"Convert the 111101100(2) to its octal equivalent. ⇒ Group the number by 3 111 101 100 ⇒ Specify the octal equivalent 111 101 100 7 5 4 Therefore, the octal number is 754(8)",Conversion of Binary System,,number_systems,high,good,Natural extraction target grounded in the uploaded FOCP PDF and aligned to the topic/subtopic flow.
39,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Introduction To Computer,Conversion of Octal Number System,1,⇒ Octal to Decimal Conversion ⇒ Octal to Binary Conversion ⇒ Octal to Hexadecimal (1) Octal to Decimal Conversion,Conversion of Octal Number System,,number_systems,high,good,Natural extraction target grounded in the uploaded FOCP PDF and aligned to the topic/subtopic flow.
40,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Introduction To Computer,Conversion of Octal Number System,2,"Convert the 51.63(8) to its binary equivalent 6 ↓ 3 ↓ 101 001 110 011 101001.110011(2) 51.63(8)=101001.110011(2) Therefore, the binary number is 101001.110011(2)",Conversion of Octal Number System,,number_systems,high,review,Natural extraction target grounded in the uploaded FOCP PDF and aligned to the topic/subtopic flow.
41,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Introduction To Computer,Conversion of Hexadecimal Number System,1,⇒ Hexadecimal to Decimal Conversion ⇒ Hexadecimal to Binary ⇒ Hexadecimal to Octal ⇒ Hexadecimal to Decimal Conversion (1) Hexadecimal to Decimal Conversion,Conversion of Hexadecimal Number System,,number_systems,high,good,Natural extraction target grounded in the uploaded FOCP PDF and aligned to the topic/subtopic flow.
42,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Introduction To Computer,Conversion of Hexadecimal Number System,1,(2) Hexadecimal to Binary Conversion Convert the 8B2F.9A(16) to its binary equivalent 9 A ↓ ↓ ↓ ↓. ↓ ↓ 1000 1011 0011 1111,Conversion of Hexadecimal Number System,Answer = 1458,number_systems,high,review,Natural extraction target grounded in the uploaded FOCP PDF and aligned to the topic/subtopic flow.
43,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Computer Software,Computer Software,1,It is responsible for controlling intergraring and managing the hardware components of a computer and to accomplish specific tasks,Computer Software,Definition,definition,high,good,Natural extraction target grounded in the uploaded FOCP PDF and aligned to the topic/subtopic flow.
44,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Computer Software,Types of software,1,Software can be categorised as system software and application software,Types of software,,applications,medium,good,Natural extraction target grounded in the uploaded FOCP PDF and aligned to the topic/subtopic flow.
45,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Computer Software,System Software,1,"Some example of system software are operating systems, device drivers language translators and system utilities",System Software,,software_concepts,low,good,Natural extraction target grounded in the uploaded FOCP PDF and aligned to the topic/subtopic flow.
46,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Computer Software,System Software,2,Operating system is the first layer of software loaded into computer memory when it starts up,System Software,,software_concepts,low,good,Natural extraction target grounded in the uploaded FOCP PDF and aligned to the topic/subtopic flow.
47,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Computer Software,System Software,1,"Device drivers are system programs, which are responsible for proper functioning of devices every device, whether it is a printer, monitor, mouse or keyboard, has a driver associated with it per its proper functioning In modern operating systems, most hardware drivers, such as the keyboard drivers, come with the operating system",System Software,Device Drivers,software_concepts,high,good,Natural extraction target grounded in the uploaded FOCP PDF and aligned to the topic/subtopic flow.
48,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Computer Software,System Software,1,Depending on the programming language used language translators are divided into three major categories Computer interpreser and assembles,System Software,Language Translators,classification_types,low,good,Natural extraction target grounded in the uploaded FOCP PDF and aligned to the topic/subtopic flow.
49,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Computer Software,System Software,1,Compiler The programs written in any high-level programming language (C or Pascal) are converted into machine language using a compiler,System Software,Language Translators Description,conversion_method,low,good,Natural extraction target grounded in the uploaded FOCP PDF and aligned to the topic/subtopic flow.
50,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Computer Software,System Software,1,"System utility programs perform day to day tasks related to the maintenance of the computer system they are used to support enhance, and secure existing programs and data in the computer system",System Software,System Utility,applications,medium,good,Natural extraction target grounded in the uploaded FOCP PDF and aligned to the topic/subtopic flow.
51,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Computer Software,Application Software,1,"Application software ranges from games, calculators and word processors document creating programs to programs that ""paint"" images on screen (image editors) some of the most commonly used application software are discussed below",Application Software,,applications,low,good,Natural extraction target grounded in the uploaded FOCP PDF and aligned to the topic/subtopic flow.
52,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Computer Software,Application Software,1,"A word processor is a software used to compose, format, edit and print electronic documents",Application Software,Word processors,applications,low,good,Natural extraction target grounded in the uploaded FOCP PDF and aligned to the topic/subtopic flow.
53,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Computer Software,Application Software,2,"A spreadsheet application is a rectangular grid, which allows text, number and complex functions to be entered into a matrix of thousand of individual cells",Application Software,,applications,high,good,Natural extraction target grounded in the uploaded FOCP PDF and aligned to the topic/subtopic flow.
54,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Computer Software,Application Software,3,"With image editing software, one can darken or lighten an image, rotate it, adjust its contrast, crop out extraneous detail and much more",Application Software,,applications,low,good,Natural extraction target grounded in the uploaded FOCP PDF and aligned to the topic/subtopic flow.
55,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Computer Software,Application Software,4,New categories of data can be added to the database without disrupting the existing system,Application Software,,applications,low,good,Natural extraction target grounded in the uploaded FOCP PDF and aligned to the topic/subtopic flow.
56,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Computer Software,Application Software,5,A presentation is a means of assessment which requires presentation providers to present their work orally in the presence of an qudience It combines both visual and verbal elementns presentation software allows the user to create presentations by producing slides or handows per presentation of projects,Application Software,,applications,low,good,Natural extraction target grounded in the uploaded FOCP PDF and aligned to the topic/subtopic flow.
57,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Computer Software,Application Software,6,The term desktop publishing is usually used to describe the creation of printed documents using a desktop computer,Application Software,,applications,medium,good,Natural extraction target grounded in the uploaded FOCP PDF and aligned to the topic/subtopic flow.
58,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Computer Software,Software Development Steps,1,"Software development may include research, new development, modification, reuse, re-engineering, maintenance or any other activities that result in software product",Software Development Steps,,software_concepts,medium,good,Natural extraction target grounded in the uploaded FOCP PDF and aligned to the topic/subtopic flow.
59,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Computer Software,Software Development Steps,1,Bugs are identified and reported The following are the flow of software development life cycle,Software Development Steps,Software development life cycle (SDLC),software_concepts,low,good,Natural extraction target grounded in the uploaded FOCP PDF and aligned to the topic/subtopic flow.
60,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Computer Software,Software Development Steps,1,"This process involves analysis who meet with interview and observe knowledge, users to understand what the requirements are, in addition existing system, processes, documents and procedures are also reviewed",Software Development Steps,Requirement - Analysis,software_concepts,medium,good,Natural extraction target grounded in the uploaded FOCP PDF and aligned to the topic/subtopic flow.
61,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Computer Software,Software Development Steps,1,"It defines specifically now the software is to be written including an object model with properties and methods for each objects, analysis and design are very cructal in the whole development cycle",Software Development Steps,Design Process,software_concepts,medium,good,Natural extraction target grounded in the uploaded FOCP PDF and aligned to the topic/subtopic flow.
62,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Computer Software,Software Development Steps,1,"Different high level languages like C, C++, JA V A, COBOL etc. are used for coding, with respect to the type of application, the right programming language is choosen",Software Development Steps,Development or Coding,software_concepts,medium,good,Natural extraction target grounded in the uploaded FOCP PDF and aligned to the topic/subtopic flow.
63,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Computer Software,Software Development Steps,1,Testing is the process of executing the proposed software with sample or test data and put it into regular use,Software Development Steps,Testing,software_concepts,medium,good,Natural extraction target grounded in the uploaded FOCP PDF and aligned to the topic/subtopic flow.
64,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Computer Software,Software Development Steps,1,The software should be developed to accommodate changes that could happen during the post implementation period,Software Development Steps,Implementation and Maintenance,history_evolution,low,good,Natural extraction target grounded in the uploaded FOCP PDF and aligned to the topic/subtopic flow.
65,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Problem Solving And,Program Definition,1,"(a) Problem must be analysed thoraghly, (b) Solution method is broken down into a sequence of small tasks",Program Definition,,definition,high,good,Natural extraction target grounded in the uploaded FOCP PDF and aligned to the topic/subtopic flow.
66,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Problem Solving And,Algorithms,1,Algorithms can have steps that repeat (iterate) or require decision (logic and comparison) until the task is completed,Algorithms,,algorithm_flowchart_pseudocode,high,good,Natural extraction target grounded in the uploaded FOCP PDF and aligned to the topic/subtopic flow.
67,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Problem Solving And,Algorithms,1,"Step 2: Read three numbers say A, B, C Step 3: Read the larger number between A and B and store it in MAX_AB",Algorithms,Step 1: Start,algorithm_flowchart_pseudocode,high,good,Natural extraction target grounded in the uploaded FOCP PDF and aligned to the topic/subtopic flow.
68,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Problem Solving And,Algorithm properties,1,(3) The algorithm should conclude after a finite number of steps an algorithm cannot be open ended (4) Then algorithm must be general enough to deal with any contingency,Algorithm properties,,algorithm_flowchart_pseudocode,high,good,Natural extraction target grounded in the uploaded FOCP PDF and aligned to the topic/subtopic flow.
69,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Problem Solving And,Flowchart,1,The primary purpose of the flowchart is to help the programmes in understanding the logic of the program Standard flowchart symbols prescribed by American nations standard institute (ANSI),Flowchart,,algorithm_flowchart_pseudocode,high,good,Natural extraction target grounded in the uploaded FOCP PDF and aligned to the topic/subtopic flow.
70,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Problem Solving And,Flowchart symbols,1,This symbol has one entry and two exit paths The path chosen depends on whether answer to a question is yes or no,Flowchart symbols,Symbol Symbol name Description,algorithm_flowchart_pseudocode,high,good,Natural extraction target grounded in the uploaded FOCP PDF and aligned to the topic/subtopic flow.
71,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Problem Solving And,Flowchart symbols,1,Communication link symbol is used to represent data received or to be transmitted from an external system,Flowchart symbols,Link,applications,high,good,Natural extraction target grounded in the uploaded FOCP PDF and aligned to the topic/subtopic flow.
72,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Problem Solving And,Guidelines for preparing flowcharts,1,Intersection of flow lines should be avoided to make it a more effective and better way of representing communication,Guidelines for preparing flowcharts,,algorithm_flowchart_pseudocode,high,good,Natural extraction target grounded in the uploaded FOCP PDF and aligned to the topic/subtopic flow.
73,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Problem Solving And,Benefit of Flowchart,1,The main advantage of using a flowchart to plan a task is that it provided a plctonal representation of the basic which makes the logic easier to follow,Benefit of Flowchart,Makes Logic Clear,algorithm_flowchart_pseudocode,high,good,Natural extraction target grounded in the uploaded FOCP PDF and aligned to the topic/subtopic flow.
74,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Problem Solving And,Benefit of Flowchart,1,"Being a graphical representation of a problem - solving logic, flowcharts are better way of communicating the logic of a system to all conserved",Benefit of Flowchart,Communication,algorithm_flowchart_pseudocode,high,good,Natural extraction target grounded in the uploaded FOCP PDF and aligned to the topic/subtopic flow.
75,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Problem Solving And,Benefit of Flowchart,1,"With the help of a flowchart, the problem, can be analysed in an effective way",Benefit of Flowchart,Effective Analysis,algorithm_flowchart_pseudocode,medium,good,Natural extraction target grounded in the uploaded FOCP PDF and aligned to the topic/subtopic flow.
76,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Problem Solving And,Benefit of Flowchart,1,The flowcharts act as a guide or blueprint during the analysic and program development phase,Benefit of Flowchart,Useful in Coding,development_process,medium,good,Natural extraction target grounded in the uploaded FOCP PDF and aligned to the topic/subtopic flow.
77,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Problem Solving And,Benefit of Flowchart,1,"By nature, a flowchart helps in detecting the errors in a program, as the developers know exactly what the logic should do",Benefit of Flowchart,Proper Testing and Debugging,development_process,high,good,Natural extraction target grounded in the uploaded FOCP PDF and aligned to the topic/subtopic flow.
78,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Problem Solving And,Limitations of Flowcharts,1,"The major disadvantage in using flowcharts is that when a program is very large, the flowcharts may continue per many pages, making them hard to follow",Limitations of Flowcharts,Complex,algorithm_flowchart_pseudocode,high,good,Natural extraction target grounded in the uploaded FOCP PDF and aligned to the topic/subtopic flow.
79,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Problem Solving And,Limitations of Flowcharts,1,Drawing flowcharts are viable only if the problem solving logic is straight forward and not very lengthy,Limitations of Flowcharts,Costly,algorithm_flowchart_pseudocode,medium,good,Natural extraction target grounded in the uploaded FOCP PDF and aligned to the topic/subtopic flow.
80,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Problem Solving And,Limitations of Flowcharts,1,"Due to its symbolic nature, any changes or modification to a flowchart usually requires redrawing the entire logic again, and redrawing a complex flowchart is not a simple basic No Update Usually programs are updated regularly",Limitations of Flowcharts,Difficult to Modify,algorithm_flowchart_pseudocode,high,good,Natural extraction target grounded in the uploaded FOCP PDF and aligned to the topic/subtopic flow.
