id,source_type,document_title,subject,chapter_title,section_heading,subtopic,chunk_index,chunk_text,question,option_a,option_b,option_c,correct_option,correct_answer_text,explanation,difficulty_level,exam_priority,quality_label,notes
11,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Introduction To Computer,First Generation (1940-56) : Vacuum Tube,,1,"For example: ENIAC, EDV AC AND UNIV AC Characteristics of First Generation Computers These computers were based on vacuum tube technology",Which option is correct about First Generation (1940-56) : Vacuum Tube?,"In some situations it may be necessary to execute the body of the loop before the test condition is performed, such as a situation the do…while loop is useful.",Drawing flowcharts are viable only if the problem solving logic is straight forward and not very lengthy.,"For example: ENIAC, EDV AC AND UNIV AC Characteristics of First Generation Computers These computers were based on vacuum tube technology.",C,"For example: ENIAC, EDV AC AND UNIV AC Characteristics of First Generation Computers These computers were based on vacuum tube technology.","The correct answer is supported by the chunk on First Generation (1940-56) : Vacuum Tube, which states that for example: ENIAC, EDV AC AND UNIV AC Characteristics of First Generation Computers These computers were based on vacuum tube technology.",hard,high,good,Three-option MCQ aligned to the important-topic-first quiz flow; distractors are drawn from other grounded chunks.
12,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Introduction To Computer,Second Generations (1956-63): Transistors,,1,"It usually had three leads and performed electrical functions such as voltage, current or power amplification with low power requirement Since transistor is a small device, the physical size of computers was greatly reduced",Which statement best describes Second Generations (1956-63): Transistors?,The objective of the requirement analysis is to identify and document he user requirements for the proposed system The main objective of the requirements analysis is to produce a document that property specifies all...,"Software will definitely undergo changes once it is delivered to the customer In addition, the changes in the system could directly affect the software operations.","It usually had three leads and performed electrical functions such as voltage, current or power amplification with low power requirement Since transistor is a small device, the physical size of computers was greatly reduced.",C,"It usually had three leads and performed electrical functions such as voltage, current or power amplification with low power requirement Since transistor is a small device, the physical size of computers was greatly reduced.","The correct answer is supported by the chunk on Second Generations (1956-63): Transistors, which states that it usually had three leads and performed electrical functions such as voltage, current or power amplification with low power requirement Since transistor is a small device, the physical size of computers was greatly reduced.",hard,high,good,Three-option MCQ aligned to the important-topic-first quiz flow; distractors are drawn from other grounded chunks.
13,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Introduction To Computer,"Third Generation (1964 - Early 1970), Integrated Circuits",,1,"Integrated circuit replaced several individually wired transistor This development made computers smaller in size, reliable and efficient","Which option is correct about Third Generation (1964 - Early 1970), Integrated Circuits?","Integrated circuit replaced several individually wired transistor This development made computers smaller in size, reliable and efficient.","Since transistor is a small device, the physical size of computers was greatly reduced Computers became smaller, faster, cheaper, energy-efficient and more reliable than their predecssors Magnetic cores- were used as primary memory and...","0,1,2,3,4,5,6,7 Each position in this number system represents a power of the base. The decimal equivalent of the octal number 3077. is 3077. = 3×83 +0×8 2+7×81+7×80 = 3×512 +0×64 +7×8+7×1 =1536+0+56+7 =1599.",A,"Integrated circuit replaced several individually wired transistor This development made computers smaller in size, reliable and efficient.","The correct answer is supported by the chunk on Third Generation (1964 - Early 1970), Integrated Circuits, which states that integrated circuit replaced several individually wired transistor This development made computers smaller in size, reliable and efficient.",easy,low,good,Three-option MCQ aligned to the important-topic-first quiz flow; distractors are drawn from other grounded chunks.
14,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Introduction To Computer,"Third Generation (1964 - Early 1970), Integrated Circuits",Characteristic of Third Generation Computer,1,They were able to reduce computational time from micro seconds to nano seconds Extensive use of high - level language became possible,Which option is correct about Characteristic of Third Generation Computer?,They were able to reduce computational time from micro seconds to nano seconds Extensive use of high - level language became possible.,"Different high level languages like C, C++, JA V. A, COBOL etc. are used for coding, with respect to the type of application, the right programming language is choosen.","C++ allows the common function to be made friendly To make an outside function 'friendly' to a class, we have to simply declare this function as a friend of the class as shown below...",A,They were able to reduce computational time from micro seconds to nano seconds Extensive use of high - level language became possible.,"The correct answer is supported by the chunk on Characteristic of Third Generation Computer, which states that they were able to reduce computational time from micro seconds to nano seconds Extensive use of high - level language became possible.",hard,high,good,Three-option MCQ aligned to the important-topic-first quiz flow; distractors are drawn from other grounded chunks.
15,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Introduction To Computer,Fourth Generation (Early (1970 - Till Date) Microprocessors),,1,These computers are very small GUI an d pointing devices enable users to learn to use the computer quickly,Which option is correct about Fourth Generation (Early (1970 - Till Date) Microprocessors)?,These computers are very small GUI an d pointing devices enable users to learn to use the computer quickly.,"A complier executes the function when a semicolon (;) is followed by function name a function can be called simply using its name like other (statement, terminated by semicolon.","They are user-defined names consisting sequence of letters and digits, with the letter as the first character The (-) underscore symbol can be sued as an identifier.",A,These computers are very small GUI an d pointing devices enable users to learn to use the computer quickly.,"The correct answer is supported by the chunk on Fourth Generation (Early (1970 - Till Date) Microprocessors), which states that these computers are very small GUI an d pointing devices enable users to learn to use the computer quickly.",easy,medium,good,Three-option MCQ aligned to the important-topic-first quiz flow; distractors are drawn from other grounded chunks.
16,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Introduction To Computer,Fifth Generation (Present and Beyond): Artificial Intelligence,,1,The expert system it defined as a computer information system that attempts to mimic the thought process and reasoning of experts in specific areas three characteristics can be identified with the fifth generation computer these are,Which statement best describes Fifth Generation (Present and Beyond): Artificial Intelligence?,The expert system it defined as a computer information system that attempts to mimic the thought process and reasoning of experts in specific areas three characteristics can be identified with the fifth generation computer...,The various phases of software development involves the performance of many people (a) User The user is a person who will use the software.,& Bitwise AND | Bitwise OR ^ Bitwise XOR << Shift left >> Shift right ~ One's complement.,A,The expert system it defined as a computer information system that attempts to mimic the thought process and reasoning of experts in specific areas three characteristics can be identified with the fifth generation computer...,"The correct answer is supported by the chunk on Fifth Generation (Present and Beyond): Artificial Intelligence, which states that the expert system it defined as a computer information system that attempts to mimic the thought process and reasoning of experts in specific areas three characteristics can be identified with the fifth generation computer...",hard,high,good,Three-option MCQ aligned to the important-topic-first quiz flow; distractors are drawn from other grounded chunks.
17,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Introduction To Computer,Fifth Generation (Present and Beyond): Artificial Intelligence,Mega chips,1,"Fifth generation computers will use super large scale integrated (SLSI) chips, which will result in the production of microprocessor having millions of electronic components on a single chip",Which option is correct about Mega chips?,It is used to execute some statement when the condition is true and execute some other statement when the condition is false.,There can be many ways in which the digits can be arranged to form a number This gives rise to what we call a number system.,"Fifth generation computers will use super large scale integrated (SLSI) chips, which will result in the production of microprocessor having millions of electronic components on a single chip.",C,"Fifth generation computers will use super large scale integrated (SLSI) chips, which will result in the production of microprocessor having millions of electronic components on a single chip.","The correct answer is supported by the chunk on Mega chips, which states that fifth generation computers will use super large scale integrated (SLSI) chips, which will result in the production of microprocessor having millions of electronic components on a single chip.",easy,medium,good,Three-option MCQ aligned to the important-topic-first quiz flow; distractors are drawn from other grounded chunks.
18,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Introduction To Computer,Fifth Generation (Present and Beyond): Artificial Intelligence,Parallel processing,1,A computer using parallel processing accesses several instructions at once and works on them at the same time through use of multiple central processing units,Which option is correct about Parallel processing?,"Step 2: Read the value of a,b,c Step3: To calculate three sides of the triangle using formula.","The indirection operator (*) is used in two distinct ways with pointer, declaration and dereference.",A computer using parallel processing accesses several instructions at once and works on them at the same time through use of multiple central processing units.,C,A computer using parallel processing accesses several instructions at once and works on them at the same time through use of multiple central processing units.,"The correct answer is supported by the chunk on Parallel processing, which states that a computer using parallel processing accesses several instructions at once and works on them at the same time through use of multiple central processing units.",easy,medium,good,Three-option MCQ aligned to the important-topic-first quiz flow; distractors are drawn from other grounded chunks.
19,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Introduction To Computer,Fifth Generation (Present and Beyond): Artificial Intelligence,Artificial intelligence: (AI),1,"AI comprises a group of related technologies expert systems (ES), natural language processing (NLP) speech recognition, vision recognition and robotics",Which option is correct about Artificial intelligence: (AI)?,"AI comprises a group of related technologies expert systems (ES), natural language processing (NLP) speech recognition, vision recognition and robotics.",⇒ Octal to Decimal Conversion ⇒ Octal to Binary Conversion ⇒ Octal to Hexadecimal.,The get () function: This is used to accept a single character from the standard input to a character variable Syntax: character variable = get () Description: character variable is the valid ‘c' variable...,A,"AI comprises a group of related technologies expert systems (ES), natural language processing (NLP) speech recognition, vision recognition and robotics.","The correct answer is supported by the chunk on Artificial intelligence: (AI), which states that aI comprises a group of related technologies expert systems (ES), natural language processing (NLP) speech recognition, vision recognition and robotics.",easy,medium,good,Three-option MCQ aligned to the important-topic-first quiz flow; distractors are drawn from other grounded chunks.
20,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Introduction To Computer,Classification Of Computers,Micro computers,1,"A micro computer is a small, low cost digital computer, which usually consists of a microprocessor, a storage unit, an input channel and an output channel, all of which may be on one chip inserted into are or several pc boards",Which statement best describes Micro computers?,"A micro computer is a small, low cost digital computer, which usually consists of a microprocessor, a storage unit, an input channel and an output channel, all of which may be on one chip...",Convert the 1101100010011011. to its hexadecimal equivalent. ⇒ Group the number by 4 1101 1000 1001 1011 ⇒ Specify the hexadecimal equivalent 1101 1000 1001 1011.,Integer data types and their memory locations Element A[0] A[1] A[2] A[3] A[4] Address 2000 2002 2004 2006 2008 Data type and their required bytes Data type Memory Requirement Character 1 byte Integer 2...,A,"A micro computer is a small, low cost digital computer, which usually consists of a microprocessor, a storage unit, an input channel and an output channel, all of which may be on one chip...","The correct answer is supported by the chunk on Micro computers, which states that a micro computer is a small, low cost digital computer, which usually consists of a microprocessor, a storage unit, an input channel and an output channel, all of which may be on one chip...",hard,high,good,Three-option MCQ aligned to the important-topic-first quiz flow; distractors are drawn from other grounded chunks.
21,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Introduction To Computer,Classification Of Computers,Desktop computer,1,"Desktop computer also known as personal computer (pc) is principally intended per stand alone use by an individual micro computer typically consist of a system unit a display monitor, a keyboard internal hard disk storage and other peripheral devices",Which statement best describes Desktop computer?,"Software development is the set of activities that results in software produces Software development may include research, new development, modification, reuse, re-engineering, maintenance or any other activities that result in software product.","The statement Cin>>number1; The identifier Cin is a predefined object in c++ that corresponds to the standard input stream Here, this stream represents the keyboard.","Desktop computer also known as personal computer (pc) is principally intended per stand alone use by an individual micro computer typically consist of a system unit a display monitor, a keyboard internal hard disk...",C,"Desktop computer also known as personal computer (pc) is principally intended per stand alone use by an individual micro computer typically consist of a system unit a display monitor, a keyboard internal hard disk...","The correct answer is supported by the chunk on Desktop computer, which states that desktop computer also known as personal computer (pc) is principally intended per stand alone use by an individual micro computer typically consist of a system unit a display monitor, a keyboard internal hard disk...",medium,high,good,Three-option MCQ aligned to the important-topic-first quiz flow; distractors are drawn from other grounded chunks.
22,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Introduction To Computer,Classification Of Computers,Laptop,1,"The biggest advantage of this computer is that one can use this computer anywhere and at anytime, especially when are is travelling",Which statement best describes Laptop?,"A word processor is a software used to compose, format, edit and print electronic documents It involves not only typing, but also checking the spelling and grammar of the text and arranging it correctly...",(c) Pointer operator: &: the address of the variable *: the value of the variable (d) Member selection operators: And: these symbols used to access the elements from a structure.,"The biggest advantage of this computer is that one can use this computer anywhere and at anytime, especially when are is travelling.",C,"The biggest advantage of this computer is that one can use this computer anywhere and at anytime, especially when are is travelling.","The correct answer is supported by the chunk on Laptop, which states that the biggest advantage of this computer is that one can use this computer anywhere and at anytime, especially when are is travelling.",medium,high,good,Three-option MCQ aligned to the important-topic-first quiz flow; distractors are drawn from other grounded chunks.
23,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Introduction To Computer,Classification Of Computers,Hand held computers,1,"A hard-held, also called personal digital assistant (PDA), is a computer that can conveniently be stored in a pocket and used while the user is holding it",Which statement best describes Hand held computers?,"A hard-held, also called personal digital assistant (PDA), is a computer that can conveniently be stored in a pocket and used while the user is holding it.","Computers became smaller, faster, cheaper, energy-efficient and more reliable than their predecssors Magnetic cores- were used as primary memory and magnetic disks as secondary storage devices.",&& Logical AND (9>2)&&(17>2) 1 || Logical OR 2<=2 1 ! Logical NOT 2>9 0 Logical operators are used to combine the results of two or more conditions.,A,"A hard-held, also called personal digital assistant (PDA), is a computer that can conveniently be stored in a pocket and used while the user is holding it.","The correct answer is supported by the chunk on Hand held computers, which states that a hard-held, also called personal digital assistant (PDA), is a computer that can conveniently be stored in a pocket and used while the user is holding it.",hard,high,good,Three-option MCQ aligned to the important-topic-first quiz flow; distractors are drawn from other grounded chunks.
24,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Introduction To Computer,Classification Of Computers,Mini computers,1,"Mini computers are usually multi-user systems, so these are used in interactive applications in industries, research organisations colleges and universities",Which option is correct about Mini computers?,"Mini computers are usually multi-user systems, so these are used in interactive applications in industries, research organisations colleges and universities.","Example: cout <<'C++ is better C.'; This statement introduces two new C++ features, cout and << The identifier cout is a predefined object that represent the standard output steam in c++.",The spreadsheet provides sheets containing calls each of which may contain text and/ or number Cells may also contain equations that calculate results from data placed in other cells or series of cells.,A,"Mini computers are usually multi-user systems, so these are used in interactive applications in industries, research organisations colleges and universities.","The correct answer is supported by the chunk on Mini computers, which states that mini computers are usually multi-user systems, so these are used in interactive applications in industries, research organisations colleges and universities.",medium,high,good,Three-option MCQ aligned to the important-topic-first quiz flow; distractors are drawn from other grounded chunks.
25,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Introduction To Computer,Classification Of Computers,Mainframe computer,1,"A mainframe is an ultra - high performance computer made for high - volume, processor - intensive computing",Which statement best describes Mainframe computer?,"It is a repetitive control structure, used to execute the statements within the body until the condition becomes false.","A mainframe is an ultra - high performance computer made for high - volume, processor - intensive computing.","Int a[5] ={ 1,2,3,4,5}; Here, 5 elements are stored in an array a. calling array elements. a[0] refer to 1st element i.e 1 a[1] refer to 2nd element i.e.",B,"A mainframe is an ultra - high performance computer made for high - volume, processor - intensive computing.","The correct answer is supported by the chunk on Mainframe computer, which states that a mainframe is an ultra - high performance computer made for high - volume, processor - intensive computing.",medium,high,good,Three-option MCQ aligned to the important-topic-first quiz flow; distractors are drawn from other grounded chunks.
26,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Introduction To Computer,Classification Of Computers,Super computers,1,"Super computers are used to solve multivariant mathematical problems of existent physical processes, such as aerodynamics, metrologis, and plasms physics",Which option correctly states the role of Super computers?,Program to print the character standard input device. #include<stdio.h> #include<conio.h> void main() { char ch; printf('Enter any character/digits….'); ch=getchar(); if(isalpha(ch)>0) printf('it is a alphabet'); else if(isdigit(ch)>0) printf('it is a digit'); else printf('it is alphanumeric')...,"Super computers are used to solve multivariant mathematical problems of existent physical processes, such as aerodynamics, metrologis, and plasms physics.",Decimal number system. Binary number system.,B,"Super computers are used to solve multivariant mathematical problems of existent physical processes, such as aerodynamics, metrologis, and plasms physics.","The correct answer is supported by the chunk on Super computers, which states that super computers are used to solve multivariant mathematical problems of existent physical processes, such as aerodynamics, metrologis, and plasms physics.",hard,high,good,Three-option MCQ aligned to the important-topic-first quiz flow; distractors are drawn from other grounded chunks.
27,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Introduction To Computer,Basic Computer Organization,,1,"Therefore if required, the output unit also converts the binary data into a form that users can understand",Which option is correct about Basic Computer Organization?,"Therefore if required, the output unit also converts the binary data into a form that users can understand.","String 2 is the source string. i.e., The contents of string 2 are assigned to the contents of string 1.","Every constant terminates with a colon (;) here, the keyboard case & break performs respectively the job of opening and closing curly braces The switch() execution When one of the cases satisfies, the statements...",A,"Therefore if required, the output unit also converts the binary data into a form that users can understand.","The correct answer is supported by the chunk on Basic Computer Organization, which states that therefore if required, the output unit also converts the binary data into a form that users can understand.",easy,medium,good,Three-option MCQ aligned to the important-topic-first quiz flow; distractors are drawn from other grounded chunks.
28,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Introduction To Computer,Number Systems,Introduction,1,There can be many ways in which the digits can be arranged to form a number,Which option is correct about Number Systems?,"Remember that the delaration of item as shown above does not define any objects of item Once a class has been declared, we can create variables of that type by using the class -...",There can be many ways in which the digits can be arranged to form a number.,A magnetic drum is a metal cylinder coated with magnetic iron-oxide material on which data and programs can be stored.,B,There can be many ways in which the digits can be arranged to form a number.,"The correct answer is supported by the chunk on Number Systems, which states that there can be many ways in which the digits can be arranged to form a number.",easy,medium,good,Three-option MCQ aligned to the important-topic-first quiz flow; distractors are drawn from other grounded chunks.
29,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Introduction To Computer,Number Systems,,1,"In decimal number system 3967(10) or 3967 Consists the digits 7 in the unit position (7×100) 6 in the unit position (6×101) 9 in the unit position (9×102) 3 in the unit position (3×103) It values can be written as 3×103+9×102+6×101+7×100 3×1000+9×100+6×10+7×1 3000+900+60+7 3967 3967(10) = 3967 (2) Binary number system The binary system user only two digits i.e, 0's and 1's the base or radis of binary number system is 2 because it contains only two numbers",Which statement best describes Number Systems?,"For example, at one moment it can be used to draft a letter, another moment it can be used to play music an in between, one can print a document as well All this...",+ Addition 2+9=11 - Subtraction 9-2=7 * Multiplication 2*9=18 / Division 9/3=3 % Modulo division 9%2=1 All the above operator are called binary operator as they acts upon two operands at a time The...,In decimal number system 3967. or 3967 Consists the digits 7 in the unit position (7×100) 6 in the unit position (6×101) 9 in the unit position (9×102) 3 in the unit position (3×103)...,C,In decimal number system 3967. or 3967 Consists the digits 7 in the unit position (7×100) 6 in the unit position (6×101) 9 in the unit position (9×102) 3 in the unit position (3×103)...,"The correct answer is supported by the chunk on Number Systems, which states that in decimal number system 3967. or 3967 Consists the digits 7 in the unit position (7×100) 6 in the unit position (6×101) 9 in the unit position (9×102) 3 in the unit position (3×103)...",hard,high,good,Three-option MCQ aligned to the important-topic-first quiz flow; distractors are drawn from other grounded chunks.
30,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Introduction To Computer,Number Systems,Unit,1,"(1) Decimal number system (2) Binary number system (3) Octal number system (4) Hexadecimal system (1) Decimal number system In this number system the base or radix is 10 and there are altogethes ten number i.e, 0,1,2,3,4,5,6,7,8,9",Which statement best describes Unit?,"Strcat(string1,string2); String 1 and String 2 are character type arrays or string constants. when the above logo function is executed string 2 is combined with stirng.",Insert table dialog box (Table -> Insert -> Table menu selecting) Tables and border button Table -> Convert Text to Table menu selection. Using the Insert Table Button To use the insert table button...,Decimal number system. Binary number system.,C,Decimal number system. Binary number system.,"The correct answer is supported by the chunk on Unit, which states that decimal number system. Binary number system.",medium,high,review,Three-option MCQ aligned to the important-topic-first quiz flow; distractors are drawn from other grounded chunks.
31,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Introduction To Computer,Number Systems,User,1,The circuits in computer have to handled by two binary digits or bits rather than decimal number,Which option is correct about User?,The circuits in computer have to handled by two binary digits or bits rather than decimal number.,It puts all other program files and function together that are required by the program.,Truth Table for ‘^' Bitwise XOR ^ 0 1 0 0 1 1 1 0 Example: X=13 =0000 1101 Y=8 =0000 1000 X&Y =0000 0101 If either of the operand bit is high ....,A,The circuits in computer have to handled by two binary digits or bits rather than decimal number.,"The correct answer is supported by the chunk on User, which states that the circuits in computer have to handled by two binary digits or bits rather than decimal number.",easy,medium,good,Three-option MCQ aligned to the important-topic-first quiz flow; distractors are drawn from other grounded chunks.
